From, Unknown, Upload, Ready, Err Upl, Deleting, Deleted, Err Del, To Update
Sites, -, -, -, -, x, x, x, -
Object Fix, -, -, -, -, -, X, -, -
Sites, -, -, -, -, -, X, -, -
