From, Unknown, Upload, Ready, Err Upl, Deleting, Deleted, Err Del, To Update
Sites, -, -, x, -, -, -, -, -
Object Fix, -, -, X (to be updated), -, -, -, -, -
Sites, -, -, -, -, -, -, -, X
