From, Unknown, Upload, Ready, Err Upl, Deleting, Deleted, Err Del, To Update
Object DB, -, -, -, -, x, x, x, -
Object Driver, -, -, x, -, -, -, -, -
Object Fix, -, -, -, -, X, -, -, -
Sites, -, -, -, -, -, X, -, -
