From, Unknown, Upload, Ready, Err Upl, Deleting, Deleted, Err Del, To Update
Object DB, -, x, x, x, -, -, -, x(M)
Object Driver, -, -, x, -, -, -, -, -
Object Fix, -, -, X, -, -, -, -, X(M if 7)
Sites, -, -, X, -, -, -, -, -
